Technology,Keywords
sensor,['sensor']
tracking,['tracking']
data fusion,['data fusion']
communications,['communications']
modeling and simulation,"['modeling and simulation', 'simulation types and techniques', 'data assimilation', 'visual analytics', 'discrete-event simulation', 'real-time simulation', 'simulation by animation', 'uncertainty quantification', 'continuous models', 'multiscale systems', 'rare-event simulation', 'agent / discrete models', 'molecular simulation', 'scientific visualization', 'quantum mechanic simulation', 'interactive simulation', 'distributed simulation', 'artificial life', 'continuous simulation', 'massively parallel and high-performance simulations', 'simulation support systems', 'simulation languages', 'simulation environments', 'simulation tools', 'simulation evaluation', 'model development and analysis', 'model verification and validation', 'modeling methodologies', 'uncertainty quantification', 'simulation theory', 'systems theory', 'network science']"
image processing,['image processing']
deep learning,['deep learning']
monitoring,['monitoring']
situational awareness,['situational awareness']
optimization,['optimization']
detection,['detection']
rf,['rf']
optical,['optical']
lightweight,['lightweight']
gps,['gps']
training,['training']
cyber security,['cyber security']
hypersonic,['hypersonic']
laser,['laser']
sensor fusion,['sensor fusion']
missile,['missile']
isr,['isr']
security,['security']
autonomous control (see also control &amp,autonomous control (see also control &amp
big data,['big data']
propulsion,['propulsion']
augmented reality,['augmented reality']
&amp,['&amp']
monitoring),monitoring)
safety,['safety']
electronic warfare,['electronic warfare']
autonomy,['autonomy']
antenna,['antenna']
thermal management,['thermal management']
high power,['high power']
autonomous,['autonomous']
aerodynamics,['aerodynamics']
safety,['safety']
3d printing,['3d printing']
visualization,"['visualization', 'visualization theory, concepts and paradigms', 'visualization design and evaluation methods', 'empirical studies in visualization', 'visualization techniques', 'heat maps', 'treemaps', 'graph drawings', 'hyperbolic trees', 'dendrograms', 'cladograms', 'visualization application domains', 'geographic visualization', 'scientific visualization', 'information visualization', 'visual analytics', 'visualization systems and tools', 'visualization toolkits']"
low cost,['low cost']
aircraft,['aircraft']
evaluation),evaluation)
cybersecurity,['cybersecurity']
computer vision,"['computer vision', 'computer vision problems', 'tracking', 'shape inference', 'image segmentation', 'object detection', 'video segmentation', 'object identification', 'interest point and salient region detections', 'reconstruction', 'matching', 'object recognition', 'computer vision representations', 'image representations', 'hierarchical representations', 'appearance and texture representations', 'shape representations', 'image and video acquisition', '3d imaging', 'computational photography', 'hyperspectral imaging', 'camera calibration', 'motion capture', 'epipolar geometry', 'active vision', 'computer vision tasks', 'visual content-based indexing and retrieval', 'vision for robotics', 'scene understanding', 'scene anomaly detection', 'video summarization', 'biometrics', 'activity recognition and understanding', 'visual inspection']"
telemetry,['telemetry']
plasma,['plasma']
composite,['composite']
high temperature,['high temperature']
air transportation &amp,['air transportation &amp']
lwir,['lwir']
control,['control']
intelligence,['intelligence']
corrosion,['corrosion']
lidar,['lidar']
mwir,['mwir']
swir,['swir']
satellite,['satellite']
models &amp,['models &amp']
imaging,['imaging']
portable,['portable']
diagnostics,['diagnostics']
directed energy,['directed energy']
fpga,['fpga']
sar,['sar']
software,['software']
modular,['modular']
missile defense,['missile defense']
and control,['and control']
automation,['automation']
energy storage,['energy storage']
cubesat,['cubesat']
simulations (see also testing &amp,simulations (see also testing &amp
telemetry),telemetry)
natural language processing,"['natural language processing', 'language resources', 'phonology / morphology', 'speech recognition', 'discourse, dialogue and pragmatics', 'natural language generation', 'information extraction', 'machine translation', 'lexical semantics']"
sensors),sensors)
mission planning,['mission planning']
battery,['battery']
networking &amp,['networking &amp']
power,['power']
analytical methods,['analytical methods']
algorithms/control software &amp,['algorithms/control software &amp']
phased array,['phased array']
signal processing,['signal processing']
cfd,['cfd']
collaboration,['collaboration']
surveillance,"['surveillance', 'governmental surveillance', 'corporate surveillance']"
anomaly detection,['anomaly detection']
satcom,['satcom']
real-time,['real-time']
software tools (analysis,software tools (analysis
coatings,['coatings']
network,['network']
compact,['compact']
radio frequency,['radio frequency']
systems (see also autonomous systems),['systems (see also autonomous systems)']
software defined radio,['software defined radio']
energy harvesting,['energy harvesting']
ladar,['ladar']
combustion,['combustion']
high energy laser,['high energy laser']
command and control,['command and control']
avionics,['avionics']
remote sensing,['remote sensing']
manufacturing,['manufacturing']
classification,['classification']
prognostics,['prognostics']
testing,['testing']
control &amp,['control &amp']
coating,['coating']
virtual reality,['virtual reality']
design),design)
communication,['communication']
navigation &amp,['navigation &amp']
energy,['energy']
maintenance,['maintenance']
command &amp,['command &amp']
fatigue,['fatigue']
control,['control']
integration,['integration']
characterization,['characterization']
suas,['suas']
submarine,['submarine']
wireless,['wireless']
authentication,"['authentication', 'graphical / visual passwords', 'multi-factor authentication', 'biometrics']"
conformal,['conformal']
open architecture,['open architecture']
situational awareness,['situational awareness']
sonobuoy,['sonobuoy']
interceptor,['interceptor']
liquid,['liquid']
photonics,['photonics']
tracking,['tracking']
target tracking,['target tracking']
robotics (see also control &amp,robotics (see also control &amp
radio,['radio']
decision support,['decision support']
gpu,['gpu']
hyperspectral,['hyperspectral']
unmanned aerial vehicle,['unmanned aerial vehicle']
microwave,['microwave']
repair,['repair']
man-machine interaction,['man-machine interaction']
optics,['optics']
teleoperation,['teleoperation']
radiation,['radiation']
airframe,['airframe']
unmanned systems,['unmanned systems']
ceramics,['ceramics']
reliability,['reliability']
simulation modeling environment,['simulation modeling environment']
reverse engineering,['reverse engineering']
gas,['gas']
gps-denied,['gps-denied']
ontology,['ontology']
uncertainty quantification,['uncertainty quantification']
simulation &amp,['simulation &amp']
virtualization,['virtualization']
information assurance,['information assurance']
cyber,['cyber']
avionics (see also control and monitoring),['avionics (see also control and monitoring)']
ballistic missile defense,['ballistic missile defense']
asw,['asw']
transmitters/receivers,['transmitters/receivers']
space situational awareness,['space situational awareness']
ir,['ir']
mems,['mems']
circuits (including ics,circuits (including ics
aluminum,['aluminum']
uuv,['uuv']
sensor,['sensor']
perception/vision,['perception/vision']
analytical instruments (solid,analytical instruments (solid
architecture,['architecture']
signal transport,['signal transport']
feature extraction,['feature extraction']
turbulence,['turbulence']
fuel cell,['fuel cell']
encryption,['encryption']
fusion,['fusion']
focal plane array,['focal plane array']
discrimination,['discrimination']
data analytics,['data analytics']
unmanned aerial system,['unmanned aerial system']
cognitive radio,['cognitive radio']
drone,['drone']
mobile,['mobile']
cloud computing,['cloud computing']
rotorcraft,['rotorcraft']
high efficiency,['high efficiency']
for specific applications,['for specific applications']
heat exchanger,['heat exchanger']
see e.g.,['see e.g.']
analysis,['analysis']
condition monitoring (see also sensors),['condition monitoring (see also sensors)']
fpa,['fpa']
wideband,['wideband']
beamforming,['beamforming']
mimo,['mimo']
scalable,['scalable']
imu,['imu']
hypersonics,['hypersonics']
computational fluid dynamics,['computational fluid dynamics']
unmanned,['unmanned']
anti-submarine warfare,['anti-submarine warfare']
low power,['low power']
dacs,['dacs']
high performance computing,['high performance computing']
ablation,['ablation']
robotics,"['robotics', 'robotic autonomy', 'robotic control', 'evolutionary robotics', 'external interfaces for robotics', 'robotic components']"
broadband,['broadband']
silicon carbide,['silicon carbide']
telemetry/tracking (cooperative/noncooperative,telemetry/tracking (cooperative/noncooperative
cryogenic,['cryogenic']
3d imaging,['3d imaging']
cooling,['cooling']
situation awareness,['situation awareness']
cyber defense,['cyber defense']
millimeter wave,['millimeter wave']
target detection,['target detection']
manet,['manet']
pnt,['pnt']
airborne,['airborne']
reconfigurable,['reconfigurable']
hybrid,['hybrid']
sonar,['sonar']
high dynamic range,['high dynamic range']
low-cost,['low-cost']
cloud,['cloud']
scramjet,['scramjet']
seeker,['seeker']
spectroscopy,['spectroscopy']
architectures and networks,['architectures and networks']
geolocation,['geolocation']
anti-jam,['anti-jam']
radar cross section,['radar cross section']
see also planetary navigation,['see also planetary navigation']
see also sensors),see also sensors)
android,['android']
fiber optics,['fiber optics']
data mining,"['data mining', 'clustering', 'data stream mining', 'nearest-neighbor search', 'association rules', 'collaborative filtering', 'data cleaning']"
lpi,['lpi']
multipath,['multipath']
measurement,['measurement']
satellite communications,['satellite communications']
logistics,['logistics']
jamming,['jamming']
fiber optic,['fiber optic']
night vision,['night vision']
model,['model']
threat detection,['threat detection']
decision making,['decision making']
heat transfer,['heat transfer']
diagnostics/prognostics,['diagnostics/prognostics']
high energy density,['high energy density']
change detection,['change detection']
ndi,['ndi']
vibration,['vibration']
radome,['radome']
algorithm,['algorithm']
descent,['descent']
piezoelectric,['piezoelectric']
knowledge management,['knowledge management']
semiconductor,['semiconductor']
materials,['materials']
passive,['passive']
entry,['entry']
flexible,['flexible']
iot,['iot']
topology optimization,['topology optimization']
augmented reality,['augmented reality']
collision avoidance,['collision avoidance']
carbon nanotubes,['carbon nanotubes']
survivability,['survivability']
unmanned aerial systems,['unmanned aerial systems']
trust,['trust']
anomaly detection,['anomaly detection']
service oriented architecture,['service oriented architecture']
sdr,['sdr']
architecture/framework/protocols,['architecture/framework/protocols']
robot,['robot']
localization,['localization']
array,['array']
nondestructive evaluation,['nondestructive evaluation']
algorithms,['algorithms']
propellant,['propellant']
video,['video']
efficiency,['efficiency']
thermal protection system,['thermal protection system']
internet of things,['internet of things']
thermal,['thermal']
ssa,['ssa']
prediction,['prediction']
targeting,['targeting']
data acquisition (see also sensors),['data acquisition (see also sensors)']
space,['space']
data analysis,['data analysis']
flight test,['flight test']
emi,['emi']
optical/photonic (see also photonics),['optical/photonic (see also photonics)']
jp-8,['jp-8']
ceramic,['ceramic']
wind tunnel,['wind tunnel']
cost reduction,['cost reduction']
launch and flight vehicle,['launch and flight vehicle']
digital thread,['digital thread']
conformal antenna,['conformal antenna']
tracking and control,['tracking and control']
tactical combat casualty care,['tactical combat casualty care']
test and evaluation,['test and evaluation']
sense and avoid,['sense and avoid']
low swap,['low swap']
gnss,['gnss']
eo/ir,['eo/ir']
assessment,['assessment']
predictive analytics,['predictive analytics']
process monitoring &amp,['process monitoring &amp']
weather,['weather']
uhf,['uhf']
data visualization,['data visualization']
gyroscope,['gyroscope']
kalman filter,['kalman filter']
multispectral,['multispectral']
nozzle,['nozzle']
roic,['roic']
lpd,['lpd']
s),s)
gan,['gan']
aerospace,"['aerospace', 'avionics']"
generator,['generator']
small satellite,['small satellite']
sensing,['sensing']
metadata,['metadata']
attitude determination &amp,['attitude determination &amp']
scheduling,['scheduling']
ballistic,['ballistic']
instrumentation,['instrumentation']
performance,['performance']
modeling &amp,['modeling &amp']
light weight,['light weight']
hardware-in-the-loop,['hardware-in-the-loop']
design,['design']
insulation,['insulation']
pulsed power,['pulsed power']
3d,['3d']
bandwidth,['bandwidth']
packaging,['packaging']
construction,['construction']
sensor webs/distributed sensors,['sensor webs/distributed sensors']
mobility,['mobility']
highly-reconfigurable,['highly-reconfigurable']
landing (see also planetary navigation,landing (see also planetary navigation
debris mitigation,['debris mitigation']
multi-sensor fusion,['multi-sensor fusion']
interference mitigation,['interference mitigation']
miniature,['miniature']
ai,['ai']
non-destructive evaluation,['non-destructive evaluation']
structural health monitoring,['structural health monitoring']
mmic,['mmic']
turbine engine,['turbine engine']
ceramic matrix composite,['ceramic matrix composite']
lethality,['lethality']
direction finding,['direction finding']
graphene,['graphene']
intrusion detection,['intrusion detection']
in process for public release,['in process for public release']
polymer,['polymer']
networking,['networking']
atmosphere,['atmosphere']
coatings/surface treatments,['coatings/surface treatments']
compressive sensing,['compressive sensing']
beam steering,['beam steering']
risk assessment,['risk assessment']
metamaterial,['metamaterial']
validation,['validation']
unmanned aerial vehicles,['unmanned aerial vehicles']
mission assurance,['mission assurance']
thermal imaging,['thermal imaging']
temperature,['temperature']
autonomous control and monitoring,['autonomous control and monitoring']
nanomaterials,['nanomaterials']
fiber laser,['fiber laser']
full motion video,['full motion video']
formation flying,['formation flying']
identification,['identification']
spacecraft instrumentation &amp,['spacecraft instrumentation &amp']
radiation hardened,['radiation hardened']
storage,['storage']
interoperability,['interoperability']
fire control,['fire control']
inertial navigation,['inertial navigation']
nanocomposite,['nanocomposite']
magnetometer,['magnetometer']
emp,['emp']
electromagnetic,['electromagnetic']
prototyping,['prototyping']
pulse power,['pulse power']
spacecraft design,['spacecraft design']
microelectronics,['microelectronics']
microstructure,['microstructure']
testing &amp,['testing &amp']
aircraft engines,['aircraft engines']
pilot support systems,['pilot support systems']
testing facilities,['testing facilities']
information extraction,['information extraction']
clustering,['clustering']
spectrum sensing,['spectrum sensing']
sigint,['sigint']
gps-denied navigation,['gps-denied navigation']
water,['water']
dynamic spectrum access,['dynamic spectrum access']
beam control,['beam control']
rcs,['rcs']
automated,['automated']
aviation,['aviation']
target recognition,['target recognition']
sustainment,['sustainment']
unmanned vehicles,['unmanned vehicles']
social media,['social media']
combat casualty care,['combat casualty care']
human factors,['human factors']
scattering,['scattering']
vulnerability analysis,['vulnerability analysis']
led,['led']
hyperspectral imaging,['hyperspectral imaging']
endurance,['endurance']
health monitoring,['health monitoring']
game theory,['game theory']
gas turbine,['gas turbine']
inertial measurement unit,['inertial measurement unit']
metrics,['metrics']
polarization,['polarization']
open source,['open source']
armor,['armor']
routing,['routing']
opir,['opir']
verification,['verification']
aerosol,['aerosol']
cmos,['cmos']
ignition,['ignition']
data,['data']
systems engineering,['systems engineering']
target classification,['target classification']
hardware-in-the-loop testing,['hardware-in-the-loop testing']
recovery (see also vehicle health management),['recovery (see also vehicle health management)']
nde,['nde']
multi-spectral,['multi-spectral']
pressure,['pressure']
power generation,['power generation']
hwil,['hwil']
anti-tamper,['anti-tamper']
rapid prototyping,['rapid prototyping']
ultrasonic,['ultrasonic']
decision-making,['decision-making']
reconnaissance,['reconnaissance']
wearable,['wearable']
rocket,['rocket']
mixed reality,['mixed reality']
high power density,['high power density']
electromagnetic interference,['electromagnetic interference']
energy density,['energy density']
high frequency,['high frequency']
dpal,['dpal']
damage,['damage']
bmds,['bmds']
high speed,['high speed']
image analysis,['image analysis']
receiver,['receiver']
scene generation,['scene generation']
diagnostic,['diagnostic']
software development,['software development']
nondestructive evaluation (nde,nondestructive evaluation (nde
verification/validation tools,['verification/validation tools']
information systems),information systems)
low noise,['low noise']
astrionics (see also communications,astrionics (see also communications
performance (see also engineering,performance (see also engineering
structural modeling and tools,['structural modeling and tools']
ugv,['ugv']
social networks,['social networks']
ingaas,['ingaas']
atr,['atr']
machine vision,['machine vision']
medical,['medical']
unmanned aircraft,['unmanned aircraft']
hf,['hf']
titanium,['titanium']
calibration,['calibration']
lasers (measuring/sensing),['lasers (measuring/sensing)']
parachute,['parachute']
high energy,['high energy']
atmospheric turbulence,['atmospheric turbulence']
forecasting,['forecasting']
feedback,['feedback']
maritime,['maritime']
carbon nanotube,['carbon nanotube']
plume,['plume']
data processing,['data processing']
on-board computing and data management,['on-board computing and data management']
batteries,['batteries']
medical simulation,['medical simulation']
user interface,['user interface']
positioning,['positioning']
textile,['textile']
metrology,['metrology']
traumatic brain injury,['traumatic brain injury']
power electronics,['power electronics']
condition-based maintenance,['condition-based maintenance']
fiber,['fiber']
computational fluid dynamics (cfd),['computational fluid dynamics (cfd)']
resilience,['resilience']
swap,['swap']
nanoparticles,['nanoparticles']
secure,['secure']
noise,['noise']
uncertainty,['uncertainty']
trauma,['trauma']
transmitter,['transmitter']
payload,['payload']
electrolyte,['electrolyte']
shielding,['shielding']
propagation,['propagation']
engine,['engine']
sensor nodes &amp,['sensor nodes &amp']
silicon,['silicon']
interference,['interference']
finite element analysis,['finite element analysis']
energy efficiency,['energy efficiency']
embedded,['embedded']
protection,['protection']
reserve battery,['reserve battery']
warhead,['warhead']
high power microwave,['high power microwave']
missiles,['missiles']
landing gear,['landing gear']
jtrs,['jtrs']
qualification,['qualification']
ground vehicle,['ground vehicle']
health management,['health management']
data compression,['data compression']
human performance,['human performance']
hadoop,['hadoop']
inertial,['inertial']
position,['position']
handheld,['handheld']
docking,['docking']
visible,['visible']
rotating detonation engine,['rotating detonation engine']
positioning (attitude determination,positioning (attitude determination
mid-infrared,['mid-infrared']
perception/sensing,['perception/sensing']
relative navigation (interception,relative navigation (interception
ndt),ndt)
ranging/tracking,['ranging/tracking']
aircraft survivability,['aircraft survivability']
chemical,['chemical']
scalability,['scalability']
location x-y-z),location x-y-z)
durability,['durability']
computer system architectures,['computer system architectures']
digital twin,['digital twin']
testing requirements and architectures,['testing requirements and architectures']
multifunctional/smart materials,['multifunctional/smart materials']
metallics,['metallics']
webs (see also communications,webs (see also communications
combat medic,['combat medic']
bayesian networks,['bayesian networks']
crowdsourcing,"['crowdsourcing', 'incentive schemes', 'reputation systems', 'trust', 'answer ranking']"
social science,['social science']
reinforcement learning,"['reinforcement learning', 'apprenticeship learning', 'adversarial learning', 'inverse reinforcement learning', 'sequential decision making', 'multi-agent reinforcement learning', 'apprenticeship learning', 'inverse reinforcement learning', 'adversarial learning', 'multi-agent reinforcement learning', 'sequential decision making']"
fundamental propulsion physics,['fundamental propulsion physics']
intelligence analysis,['intelligence analysis']
bayesian network,['bayesian network']
automatic target recognition,['automatic target recognition']
radio frequency (rf),['radio frequency (rf)']
social network analysis,['social network analysis']
smart/multifunctional materials,['smart/multifunctional materials']
hmd,['hmd']
tunable filter,['tunable filter']
trajectory,['trajectory']
medical training,['medical training']
transfer learning,['transfer learning']
information technology,['information technology']
waveguide,['waveguide']
fso,['fso']
kill vehicle,['kill vehicle']
electronic attack,['electronic attack']
isar,['isar']
quantum cascade laser,['quantum cascade laser']
ruggedized,['ruggedized']
video analytics,['video analytics']
data science,['data science']
wide field of view,['wide field of view']
power management,['power management']
lvc,['lvc']
multi-sensor,['multi-sensor']
verification and validation,['verification and validation']
computational electromagnetics,['computational electromagnetics']
compression,['compression']
aircrew,['aircrew']
sequencing &amp,['sequencing &amp']
operations concepts and requirements,['operations concepts and requirements']
signature,['signature']
path planning,['path planning']
silicon photonics,['silicon photonics']
photonic integrated circuit,['photonic integrated circuit']
vehicles (see also autonomous systems),['vehicles (see also autonomous systems)']
fabric,['fabric']
gas turbine engine,['gas turbine engine']
vehicle,['vehicle']
unmanned aerial vehicle (uav),['unmanned aerial vehicle (uav)']
mitigation,['mitigation']
object recognition,['object recognition']
strain,['strain']
supercapacitor,['supercapacitor']
big data analytics,['big data analytics']
structure,['structure']
quality of service,['quality of service']
blast,['blast']
thermal protection,['thermal protection']
modeling and simulation (m&amp,modeling and simulation (m&amp
synthetic aperture radar (sar),['synthetic aperture radar (sar)']
vulnerability,['vulnerability']
non-lethal,['non-lethal']
network integration,['network integration']
scintillation,['scintillation']
tactical,['tactical']
supply chain,['supply chain']
high performance,['high performance']
gmti,['gmti']
superlattice,['superlattice']
detonation,['detonation']
portable,['portable']
mid-wave infrared,['mid-wave infrared']
thruster,['thruster']
blood,['blood']
inspection,['inspection']
visual analytics,['visual analytics']
remote monitoring,['remote monitoring']
tps,['tps']
sensitivity analysis,['sensitivity analysis']
inertial measurement unit (imu),['inertial measurement unit (imu)']
magnetic anomaly detection,['magnetic anomaly detection']
cognitive,['cognitive']
sic,['sic']
openvpx,['openvpx']
aegis,['aegis']
absorption,['absorption']
cathode,['cathode']
authentication,"['authentication', 'graphical / visual passwords', 'multi-factor authentication', 'biometrics']"
condition based maintenance,['condition based maintenance']
kill assessment,['kill assessment']
solid-state,['solid-state']
optical communications,['optical communications']
fuel,['fuel']
lithium,['lithium']
carbon fiber,['carbon fiber']
autonomous systems,['autonomous systems']
information fusion,['information fusion']
insensitive munitions,['insensitive munitions']
isolation,['isolation']
intelligent agents,['intelligent agents']
high temperature materials,['high temperature materials']
physics-based,['physics-based']
photonic integrated circuits,['photonic integrated circuits']
mine countermeasures,['mine countermeasures']
chemical/environmental (see also biological health/life support),['chemical/environmental (see also biological health/life support)']
&lt,['&lt']
residual stress,['residual stress']
data acquisition,['data acquisition']
true time delay,['true time delay']
cryptography,"['cryptography', 'symmetric cryptography and hash functions', 'hash functions and message authentication codes', 'block and stream ciphers', 'key management', 'public key (asymmetric) techniques', 'digital signatures', 'public key encryption', 'cryptanalysis and other attacks', 'mathematical foundations of cryptography', 'information-theoretic techniques']"
&gt,['&gt']
network,['network']
processing methods,['processing methods']
solar,['solar']
test,['test']
dielectric,['dielectric']
force protection,['force protection']
asic,['asic']
energy,['energy']
hardening,['hardening']
high-temperature,['high-temperature']
software development environments,['software development environments']
gasb,['gasb']
data acquisition and end-to-end-management,['data acquisition and end-to-end-management']
radiation-hard/resistant electronics,['radiation-hard/resistant electronics']
signal transport),signal transport)
software tools for distributed analysis and simulation,['software tools for distributed analysis and simulation']
sls,['sls']
aesa,['aesa']
chemical,['chemical']
object detection,['object detection']
sensor resource management,['sensor resource management']
antenna array,['antenna array']
pattern recognition,['pattern recognition']
structure from motion,['structure from motion']
smallsat,['smallsat']
hearing protection,['hearing protection']
track correlation,['track correlation']
see also control &amp,['see also control &amp']
thermal battery,['thermal battery']
software-defined radio,['software-defined radio']
hud,['hud']
debris,['debris']
l-band,['l-band']
emulation,['emulation']
electro-optic,['electro-optic']
inflatable,['inflatable']
microfabrication,['microfabrication']
avalanche photodiode,['avalanche photodiode']
gamification,['gamification']
apd,['apd']
non-contact,['non-contact']
parallel computing,['parallel computing']
planning,['planning']
reentry,['reentry']
resource allocation,['resource allocation']
unsupervised learning,"['unsupervised learning', 'topic modeling', 'motif discovery', 'anomaly detection', 'cluster analysis', 'dimensionality reduction and manifold learning', 'mixture modeling', 'source separation']"
network security,"['network security', 'firewalls', 'denial-of-service attacks', 'mobile and wireless security', 'security protocols', 'web protocol security', 'web protocol security', 'firewalls', 'denial-of-service attacks', 'security protocols', 'mobile and wireless security']"
neural network,['neural network']
physiological monitoring,['physiological monitoring']
rocket motor,['rocket motor']
c2bmc,['c2bmc']
battle damage assessment,['battle damage assessment']
monitor,['monitor']
malware detection,['malware detection']
unmanned ground vehicle,['unmanned ground vehicle']
performance assessment,['performance assessment']
planetary navigation,['planetary navigation']
ka-band,['ka-band']
imagery,['imagery']
unmanned aircraft systems (uas),['unmanned aircraft systems (uas)']
long endurance,['long endurance']
non-destructive testing,['non-destructive testing']
vcsel,['vcsel']
terahertz,['terahertz']
telemedicine,['telemedicine']
thin film,['thin film']
hearing loss,['hearing loss']
thermal modeling,['thermal modeling']
power density,['power density']
elastomer,['elastomer']
fault detection,['fault detection']
processing,['processing']
relative navigation,['relative navigation']
software assurance,['software assurance']
database,['database']
ew,['ew']
real time,['real time']
dual-band,['dual-band']
synthetic aperture radar,['synthetic aperture radar']
nonlinear optics,['nonlinear optics']
camouflage,['camouflage']
gallium nitride,['gallium nitride']
power amplifier,['power amplifier']
stress corrosion cracking,['stress corrosion cracking']
supersonic,['supersonic']
span style=&apos,['span style=&apos']
noise reduction,['noise reduction']
state estimation,['state estimation']
lna,['lna']
selective laser melting,['selective laser melting']
turbine,['turbine']
fuze,['fuze']
bio-inspired,['bio-inspired']
multi-band,['multi-band']
ultraviolet,['ultraviolet']
aerial refueling,['aerial refueling']
microcontroller,['microcontroller']
distribution/management,['distribution/management']
concrete,['concrete']
eddy current,['eddy current']
latency,['latency']
ascent phase,['ascent phase']
photonics),photonics)
intercept,['intercept']
ionosphere,['ionosphere']
low observable,['low observable']
gimbal,['gimbal']
degradation,['degradation']
spectrometer,['spectrometer']
face,['face']
nir,['nir']
explosive,['explosive']
dosimeter,['dosimeter']
explosives,['explosives']
x-ray,['x-ray']
brdf,['brdf']
graph analytics,['graph analytics']
electro-optical,['electro-optical']
embedded sensors,['embedded sensors']
rapid,['rapid']
photonic crystal,['photonic crystal']
network management,['network management']
detector,['detector']
digital signal processing,['digital signal processing']
spoofing,['spoofing']
helicopter,['helicopter']
non-toxic,['non-toxic']
heat flux,['heat flux']
high-efficiency,['high-efficiency']
efficient,['efficient']
microfabrication (and smaller,microfabrication (and smaller
defects,['defects']
open system architecture,['open system architecture']
particle filter,['particle filter']
integrated circuit,['integrated circuit']
modular design,['modular design']
ecg,['ecg']
cryocooler,['cryocooler']
host,['host']
common operating picture,['common operating picture']
atmospheric propulsion,['atmospheric propulsion']
rf photonics,['rf photonics']
spacecraft,['spacecraft']
obstacle avoidance,['obstacle avoidance']
nuclear,['nuclear']
multicast,['multicast']
nanotechnology,['nanotechnology']
polymers,['polymers']
non-destructive inspection,['non-destructive inspection']
radiation detection,['radiation detection']
cnt,['cnt']
correlation,['correlation']
malware,['malware']
prototype,['prototype']
power source,['power source']
finite element modeling,['finite element modeling']
ultra-high density/low power,['ultra-high density/low power']
x-band,['x-band']
jet fuel,['jet fuel']
leo,['leo']
